scientific_name,inat_common_name,ref_common_name,comment
Gomphrena,千日红属,千日红属,Matched
Agastache foeniculum,,,Missed common name on iNat
Phoenix reclinata,,,Missed common name on iNat
Scadoxus multiflorus,网球花,,Species not included in reference
Phoenix dactylifera,海枣,海枣,Matched
Parietaria judaica,,,Missed common name on iNat
Amaranthus palmeri,长芒苋,长芒苋,Matched
Parashorea,,柳安属,Missed common name on iNat
Asparagus aethiopicus,,,Missed common name on iNat
Lumnitzera littorea,,红榄李,Missed common name on iNat
Dolichandrone spathacea,海滨猫尾木,,Species not included in reference
Excoecaria agallocha,海漆,海漆,Matched
Eleutherococcus sessiliflorus,无梗五加,无梗五加,Matched
Homalosorus pycnocarpos,,,Missed common name on iNat
Vigna luteola,长叶豇豆,长叶豇豆,Matched
Calyptocarpus vialis,伏金腰箭,伏金腰箭,Matched
Leonotis,狮耳花属,狮耳花属,Matched
Hydrangea aspera,马桑绣球,马桑绣球,Matched
Liquidambar,枫香树属,枫香树属,Matched
Populus euphratica,胡杨,胡杨,Matched
Acalypha rhomboidea,,,Missed common name on iNat
Zephyranthes chlorosolen,晚星雨百合,,Species not included in reference
Plagiomnium cuspidatum,匐灯藓,匐灯藓,Matched
Lindernia dubia,北美母草,北美母草,Matched
Cynodon dactylon,狗牙根,狗牙根,Matched
Paris verticillata,北重楼,北重楼,Matched
Globba lancangensis,澜沧舞花姜,澜沧舞花姜,Matched
Nervilia,芋兰属,芋兰属,Matched
Maianthemum japonicum,鹿药,鹿药,Matched
Ampelopsis glandulosa brevipedunculata,东北蛇葡萄,,Species not included in reference
Cabomba caroliniana,水遁草,水盾草,Inconsistent common name
Sassafras albidum,北美檫樹,,Species not included in reference
Swertia,獐牙菜属,獐牙菜属,Matched
Passiflora wilsonii,镰叶西番莲,镰叶西番莲,Matched
Lycoris squamigera,鹿葱,,Species not included in reference
Fallopia,何首乌属,藤蓼属,Inconsistent common name
Spirodela,紫萍属,紫萍属,Matched
Peganum,骆驼蓬属,骆驼蓬属,Matched
Tribulus,蒺藜属,蒺藜属,Matched
Nymphaea odorata,香睡莲,,Species not included in reference
Myriophyllum,狐尾藻属,狐尾藻属,Matched
Mucuna macrocarpa,大果油麻藤,大果油麻藤,Matched
Crawfurdia,蔓龙胆属,蔓龙胆属,Matched
Oreocharis burtii,龙南后蕊苣苔,,Species not included in reference
Corchorus,黄麻属,黄麻属,Matched
Gomphostemma javanicum,爪哇锥花,,Species not included in reference
Piper auritum,墨西哥胡椒叶,,Species not included in reference
Clinopodium,风轮菜属,风轮菜属,Matched
Philadelphus pekinensis,太平花,太平花,Matched
Tanacetum parthenium,小白菊,,Species not included in reference
Polygonatum odoratum,玉竹,玉竹,Matched
Tamarix ramosissima,多枝柽柳,多枝柽柳,Matched
Penstemon whippleanus,,,Missed common name on iNat
Phlox paniculata,天蓝绣球,,Species not included in reference
Plumbago,白花丹属,白花丹属,Matched
Clematis ranunculoides,毛茛铁线莲,毛茛铁线莲,Matched
Melampodium divaricatum,黄帝菊,,Species not included in reference
Radermachera hainanensis,海南菜豆树,海南菜豆树,Matched
Casuarina equisetifolia,木麻黄,木麻黄,Matched
Tectona grandis,柚木,柚木,Matched
Stromanthe thalia,紫背竹芋,,Species not included in reference
Ilex crenata,齿叶冬青,齿叶冬青,Matched
Pseudanomodon attenuatus,狭叶牛舌藓,,Species not included in reference
Lecanthus peduncularis,假楼梯草,假楼梯草,Matched
Jasminum polyanthum,多花素馨,多花素馨,Matched
Tillandsia deppeana,,,Missed common name on iNat
Lagenaria siceraria,葫芦,葫芦,Matched
Aeonium,莲花掌属,,Species not included in reference
Murdannia keisak,疣草,疣草,Matched
Bischofia polycarpa,重阳木,重阳木,Matched
Rhapis humilis,,矮棕竹,Missed common name on iNat
Hippochaete,木贼亚属,,Species not included in reference
Zehneria,马㼎儿属,马瓟儿属,Inconsistent common name
Ixora coccinea coccinea,黄仙丹花,,Species not included in reference
Ficus petiolaris palmeri,,,Missed common name on iNat
Lactuca tatarica,乳苣,乳苣,Matched
Linum usitatissimum,亚麻,亚麻,Matched
Hosta ventricosa,紫萼,紫萼,Matched
Carpinus putoensis,普通鹅耳枥,普陀鹅耳枥,Inconsistent common name
Delphinium anthriscifolium,还亮草,还亮草,Matched
Trianthema portulacastrum,假海马齿,假海马齿,Matched
Oenothera drummondii,海边月见草,海边月见草,Matched
Pieris japonica taiwanensis,台湾马醉木,,Species not included in reference
Tradescantia,紫露草属,紫露草属,Matched
Malva sinensis,锦葵,,Species not included in reference
Gueldenstaedtia,米口袋属,米口袋属,Matched
Blumea,艾纳香属,艾纳香属,Matched
Momordica,苦瓜属,苦瓜属,Matched
Ibervillea sonorae sonorae,,,Missed common name on iNat
Rosenbergiodendron formosum,黑莓果,,Species not included in reference
Sphagneticola,蟛蜞菊属,蟛蜞菊属,Matched
Abrus,相思子属,相思子属,Matched
Lepisorus,瓦韦属,瓦韦属,Matched
Galium asperuloides,车叶葎,车叶葎,Matched
Fuchsia,吊钟花属,倒挂金钟属,Inconsistent common name
Actinidia arguta,软枣猕猴桃,软枣猕猴桃,Matched
Clinopodium megalanthum,寸金草,寸金草,Matched
Agave lechuguilla,,,Missed common name on iNat
Gypsophila,石头花属,石头花属,Matched
Aquilegia sibirica,西伯利亚耧斗菜,西伯利亚耧斗菜,Matched
Tridax,羽芒菊属,羽芒菊属,Matched
Orthosiphon wulfenioides,,鸡脚参,Missed common name on iNat
Merremia,鱼黄草属,鱼黄草属,Matched
Cydonia oblonga,榲桲,榅桲,Inconsistent common name
Gentiana lawrencei farreri,线叶龙胆,,Species not included in reference
Chara foliolosa,,,Missed common name on iNat
Glabrella mihieri,光叶苣苔,光叶苣苔,Matched
Hevea,橡胶树属,橡胶树属,Matched
Salvinia natans,槐叶萍,槐叶蘋,Inconsistent common name
Themeda,菅属,菅属,Matched
Alnus nepalensis,尼泊尔桤木,尼泊尔桤木,Matched
Begonia semperflorens-cultorum,四季秋海棠,,Species not included in reference
Xerochrysum,蜡菊属,麦秆菊属,Inconsistent common name
Hibiscus sabdariffa,玫瑰茄,玫瑰茄,Matched
Crotalaria,猪屎豆属,猪屎豆属,Matched
Hedychium puerense,普洱姜花,普洱姜花,Matched
Grona heterocarpos angustifolia,显脉山绿豆,,Species not included in reference
Cedrus,雪松属,雪松属,Matched
Gleditsia,皂荚属,皂荚属,Matched
Trichosanthes dunniana,糙点栝楼,糙点栝楼,Matched
Saussurea gracilis,风毛菊,,Species not included in reference
Ipomoea quamoclit,茑萝,茑萝,Matched
Euryops pectinatus,梳黄菊,,Species not included in reference
Zehneria indica,马㼎儿,,Species not included in reference
Ainsliaea macroclinidioides,阿里山兔儿风,阿里山兔儿风,Matched
Hydrangea moellendorffii,草绣球,,Species not included in reference
Raphanus,萝卜属,萝卜属,Matched
Humulus lupulus,蛇麻(啤酒花),啤酒花,Inconsistent common name
Bischofia,重阳木属,秋枫属,Inconsistent common name
Schlumbergera truncata,蟹爪兰,,Species not included in reference
Tripterospermum chinense,双蝴蝶,双蝴蝶,Matched
Elaeocarpus japonicus,日本杜英,日本杜英,Matched
Acer pauciflorum,,稀花槭,Missed common name on iNat
Broussonetia kaempferi,葡蟠,藤构,Inconsistent common name
Collinsonia elsholtzioides,,,Missed common name on iNat
Celtis biondii,紫弹朴,紫弹树,Inconsistent common name
Commelina paludosa,大苞鸭跖草,大苞鸭跖草,Matched
Spiraea salicifolia,绣线菊,绣线菊,Matched
Galatella,乳菀属,乳菀属,Matched
Bridelia tomentosa,土蜜树,土蜜树,Matched
Gardenia stenophylla,狭叶桅子,狭叶栀子,Inconsistent common name
Ipomoea imperati,假厚藤,假厚藤,Matched
Helicteres hirsuta,雁婆麻,雁婆麻,Matched
Iris proantha,小鸢尾,小鸢尾,Matched
Asarum forbesii,杜衡,杜衡,Matched
Echinacea,紫锥菊属,,Species not included in reference
Ulmus davidiana japonica,春榆,,Species not included in reference
Fraxinus mandshurica,水曲柳,水曲柳,Matched
Tilia amurensis,紫椴,紫椴,Matched
Crotalaria pallida,猪屎豆,猪屎豆,Matched
Stauntonia latifolia,八月瓜,,Species not included in reference
Neolamarckia cadamba,团花,团花,Matched
Ficus subpisocarpa,雀榕,笔管榕,Inconsistent common name
Kraniopsis,[旧]梾木属,,Species not included in reference
Acer griseum,血皮枫(血皮槭),血皮槭,Inconsistent common name
Solanum dulcamara,欧白英,欧白英,Matched
Haloxylon,,梭梭属,Missed common name on iNat
Reynoutria,虎杖属,虎杖属,Matched
Othonna wrinkleana,,,Missed common name on iNat
Cyrtococcum,弓果黍属,弓果黍属,Matched
Campanula punctata,紫斑风铃草,紫斑风铃草,Matched
Berberis ulicina,,尤里小檗,Missed common name on iNat
Camonea umbellata,,,Missed common name on iNat
Rhytidium rugosum,垂枝藓,垂枝藓,Matched
Malus baccata,山荆子,山荆子,Matched
Glyptostrobus pensilis,水松,水松,Matched
Paspalum urvillei,丝毛雀稗,丝毛雀稗,Matched
Scoparia dulcis,野甘草,野甘草,Matched
Adenium obesum,,,Missed common name on iNat
Burmannia itoana,,纤草,Missed common name on iNat
Burmannia pusilla,水玉簪,,Species not included in reference
Rheum nobile,塔黄,塔黄,Matched
Corydalis benecincta,囊距紫堇,囊距紫堇,Matched
Corydalis melanochlora,,暗绿紫堇,Missed common name on iNat
Thalictrum yunnanense,,云南唐松草,Missed common name on iNat
Begonia chingii,凤山秋海棠,凤山秋海棠,Matched
Coix lacryma-jobi maxima,,,Missed common name on iNat
Begonia fangii,,方氏秋海棠,Missed common name on iNat
Impatiens angulata,,棱茎凤仙花,Missed common name on iNat
Oldenlandia corymbosa,伞房花耳草,水线草,Inconsistent common name
Dinetus racemosus,飞蛾藤,飞蛾藤,Matched
Davidia involucrata,珙桐,珙桐,Matched
Begonia qingchengshanensis,青城山秋海棠,青城山秋海棠,Matched
Pteris terminalis,溪边凤尾蕨,溪边凤尾蕨,Matched
Eucalyptus globulus globulus,,,Missed common name on iNat
Alstroemeria aurea,六出花,,Species not included in reference
Dianthus caryophyllus,,香石竹,Missed common name on iNat
Menisciopsis penangiana,披针新月蕨,,Species not included in reference
Asystasia intrusa,紫鹤花,,Species not included in reference
Mammillaria herrerae,白鸟,,Species not included in reference
Helodium blandowii,,,Missed common name on iNat
Annona montana,山刺番荔枝,山刺番荔枝,Matched
Scurrula chingii,卵叶梨果寄生,卵叶梨果寄生,Matched
Pyracantha coccinea,欧洲火棘,,Species not included in reference
Taxodium mucronatum,墨西哥落羽杉,墨西哥落羽杉,Matched
Allium macrostemon,薤白,薤白,Matched
Pandanus austrosinensis,,露兜草,Missed common name on iNat
Aster baccharoides,,白舌紫菀,Missed common name on iNat
Salvinia molesta,人厌槐叶萍,人厌槐叶蘋,Inconsistent common name
Lithocarpus henryi,灰柯,灰柯,Matched
Grevillea baueri,,,Missed common name on iNat
Gossypium,棉属,棉属,Matched
Schizostachyum glaucifolium,波利尼西亚竹,,Species not included in reference
Richardia,墨苜蓿属,墨苜蓿属,Matched
Waltheria indica,蛇婆子,蛇婆子,Matched
Rhizomnium,毛灯藓属,毛灯藓属,Matched
Dicliptera,狗肝菜属,狗肝菜属,Matched
Hoya carnosa,球兰,球兰,Matched
Begonia dryadis,厚叶秋海棠,厚叶秋海棠,Matched
Dysoxylum,樫木属,樫木属,Matched
Terminalia mantaly,小叶榄仁,,Species not included in reference
Alysicarpus vaginalis,链荚豆,链荚豆,Matched
Cupressus lusitanica,墨西哥柏木,,Species not included in reference
Beta vulgaris,甜菜,甜菜,Matched
Colquhounia,火把花属,火把花属,Matched
Rumex obtusifolius,钝叶酸模,钝叶酸模,Matched
Ipomoea pes-tigridis,,虎掌藤,Missed common name on iNat
Alternanthera brasiliana,红龙苋,,Species not included in reference
Chloris,虎尾草属,虎尾草属,Matched
Terminalia,榄仁属,榄仁属,Matched
Achyranthes indica,,,Missed common name on iNat
Impatiens undulata,,波缘凤仙花,Missed common name on iNat
Arctotheca prostrata,,,Missed common name on iNat
Metagentiana gentilis,,,Missed common name on iNat
Alternanthera pungens,刺花莲子草,刺花莲子草,Matched
Avena fatua,野燕麦,野燕麦,Matched
Myosotis arvensis,,,Missed common name on iNat
Anaphalis margaritacea margaritacea,,,Missed common name on iNat
Osyris wightiana,沙针,,Species not included in reference
Cymbidium tracyanum,西藏虎头兰,西藏虎头兰,Matched
Allium schoenoprasum,虾夷葱,北葱,Inconsistent common name
Senecio elegans,,,Missed common name on iNat
Amaranthus spinosus,刺苋,刺苋,Matched
Mentha arvensis,田野薄荷,,Species not included in reference
Morella rubra,杨梅,杨梅,Matched
Forsythia viridissima,金钟花,金钟花,Matched
Musa basjoo,,芭蕉,Missed common name on iNat
Celtis koraiensis,大叶朴,大叶朴,Matched
Elsholtzia fruticosa,鸡骨柴,鸡骨柴,Matched
Fontanesia,雪柳属,雪柳属,Matched
Epidendrum ciliare,,,Missed common name on iNat
Cyrtochilum,,,Missed common name on iNat
Paphiopedilum henryanum,,亨利兜兰,Missed common name on iNat
Paeonia suffruticosa,四川牡丹,,Species not included in reference
Sorbaria sorbifolia,珍珠梅,珍珠梅,Matched
Portulacaria afra,树马齿苋,,Species not included in reference
Praxelis,假臭草属,假臭草属,Matched
Tithonia,肿柄菊属,肿柄菊属,Matched
Equisetum diffusum,披散问荆,披散问荆,Matched
Betula insignis,香桦,香桦,Matched
Hydrangea bretschneideri,东陵绣球,东陵绣球,Matched
Begonia silletensis,厚壁秋海棠,,Species not included in reference
Phlogacanthus,火焰花属,火焰花属,Matched
Cardiopteris,,心翼果属,Missed common name on iNat
Populus tomentosa,毛白杨,毛白杨,Matched
Ochroma pyramidale,轻木,,Species not included in reference
Hippocratea,,,Missed common name on iNat
Aristolochia kwangsiensis,广西马兜铃,,Species not included in reference
Aristolochia caulialata,翅茎马兜铃,,Species not included in reference
Mucuna monosperma,单子油麻藤,,Species not included in reference
Philodendron hederaceum,大心叶绿萝,,Species not included in reference
Elatostema salvinioides,叠叶楼梯草,叠叶楼梯草,Matched
Reynoutria multiflora,何首乌,,Species not included in reference
Jacquemontia paniculata,小牵牛,小牵牛,Matched
Vachellia,金合欢属,金合欢属,Matched
Barleria,假杜鹃属,假杜鹃属,Matched
Vitis flexuosa,葛藟葡萄,葛藟葡萄,Matched
Cycas pectinata,篦齿苏铁,篦齿苏铁,Matched
Argyreia capitiformis,头花银背藤,头花银背藤,Matched
Morus nigra,黑桑,黑桑,Matched
Calophyllum inophyllum,红厚壳,红厚壳,Matched
Thunbergia laurifolia,桂叶山牵牛,,Species not included in reference
Schinus,肖乳香属,,Species not included in reference
Ottelia cordata,水菜花,水菜花,Matched
Triplostegia glandulifera,大花双参,双参,Inconsistent common name
Rubus treutleri,滇西北悬钩子,滇西北悬钩子,Matched
Stachyurus himalaicus,西域旌节花,西域旌节花,Matched
Chamaemelanium,[旧]须毛柱头堇菜亚属,,Species not included in reference
Machilus thunbergii,红楠,红楠,Matched
Rubus grayanus,,中南悬钩子,Missed common name on iNat
Saraca thaipingensis,泰国无忧花,,Species not included in reference
Viola mandshurica,东北堇菜,东北堇菜,Matched
Heliotropium,天芥菜属,天芥菜属,Matched
Keteleeria evelyniana,云南油杉,云南油杉,Matched
Dendrobium aphyllum,兜唇石斛,兜唇石斛,Matched
Dendrobium transparens,小喇叭石斛(紫菀石斛),,Species not included in reference
Rhynchostylis retusa,钻喙兰,钻喙兰,Matched
Henckelia speciosa,,美丽汉克苣苔,Missed common name on iNat
Mollugo verticillata,种棱粟米草,毯粟草,Inconsistent common name
Sageretia thea,雀梅藤,雀梅藤,Matched
Bridelia balansae,禾串树,禾串树,Matched
Metasequoia,水杉属,水杉属,Matched
Glebionis coronaria,茼蒿,茼蒿,Matched
Scrophularia wattii,,,Missed common name on iNat
Incarvillea younghusbandii,,藏波罗花,Missed common name on iNat
Dactyloctenium,龙爪茅属,龙爪茅属,Matched
Kandelia candel,,,Missed common name on iNat
Hultholia mimosoides,含羞云实,含羞云实,Matched
Panax ginseng,人参,人参,Matched
Aspidistra minutiflora,小花蜘蛛抱蛋,小花蜘蛛抱蛋,Matched
Balanophora laxiflora,,疏花蛇菰,Missed common name on iNat
Kosteletzkya,,,Missed common name on iNat
Pteris cretica,欧洲凤尾蕨,欧洲凤尾蕨,Matched
Basella alba,落葵,落葵,Matched
Elaeagnus glabra,蔓胡颓子,蔓胡颓子,Matched
Delphinium caeruleum,蓝翠雀花,蓝翠雀花,Matched
Enhalus acoroides,,海菖蒲,Missed common name on iNat
Toona ciliata,红椿,红椿,Matched
Azima sarmentosa,刺茉莉,刺茉莉,Matched
Eucalyptus globulus,蓝桉,蓝桉,Matched
Hodgsonia macrocarpa,有棱油瓜,,Species not included in reference
Emilia,一点红属,一点红属,Matched
Xanthosoma,黄体芋属,千年芋属,Inconsistent common name
Procris,藤麻属,藤麻属,Matched
Pothos,石柑属,石柑属,Matched
Thunbergia alata,翼叶山牵牛,翼叶山牵牛,Matched
Parkia biglobosa,二球球花豆,,Species not included in reference
Elaeocarpus serratus,锡兰杜英,锡兰榄,Inconsistent common name
Morinda citrifolia,海滨木巴戟,海滨木巴戟,Matched
Ficus macrophylla,澳洲大叶榕,,Species not included in reference
Allium mongolicum,蒙古韭,蒙古韭,Matched
Olgaea leucophylla,火媒草,火媒草,Matched
Cinnamomum burmanni,阴香,阴香,Matched
Helixanthera parasitica,离瓣寄生,离瓣寄生,Matched
Toxicodendron succedaneum,野漆,野漆,Matched
Exacum teres,,圆茎藻百年,Missed common name on iNat
Lobelia pyramidalis,,塔花山梗菜,Missed common name on iNat
Platycerium wallichii,鹿角蕨,鹿角蕨,Matched
Dendrocnide,火麻树属,火麻树属,Matched
Chimonanthus,腊梅属,蜡梅属,Inconsistent common name
Rhaphidophora hongkongensis,狮子尾,狮子尾,Matched
Camonea,茉栾藤属,,Species not included in reference
Pinus hwangshanensis,黄山松,黄山松,Matched
Viola nanlingensis,南岭堇菜,,Species not included in reference
Barthea barthei,棱果花,棱果花,Matched
Primulina fimbrisepala,蚂蝗七,蚂蟥七,Inconsistent common name
Dichocarpum dalzielii,蕨叶人字果,蕨叶人字果,Matched
Turpinia arguta,锐尖山香圆,锐尖山香圆,Matched
Salvia chinensis,华鼠尾草,华鼠尾草,Matched
Lathyrus davidii,茳芒香豌豆,大山黧豆,Inconsistent common name
Melia toosendan,川楝子,,Species not included in reference
Schima wallichii,红木荷,西南木荷,Inconsistent common name
Horsfieldia kingii,大叶风吹楠,大叶风吹楠,Matched
Shorea assamica,云南娑罗双,云南娑罗双,Matched
Patrinia scabra,糙叶败酱,糙叶败酱,Matched
Setaria italica germanica,,,Missed common name on iNat
Glandularia peruviana,,,Missed common name on iNat
Adenophora divaricata,展枝沙参,展枝沙参,Matched
Molineria capitulata,大叶仙茅,,Species not included in reference
Thunbergia coccinea,红花山牵牛,红花山牵牛,Matched
Myricaria laxiflora,,疏花水柏枝,Missed common name on iNat
Wurfbainia villosa,砂仁,,Species not included in reference
Phlogacanthus curviflorus,火焰花,火焰花,Matched
Gouania,咀签属,咀签属,Matched
Arundo,芦竹属,芦竹属,Matched
Narcissus tazetta chinensis,水仙,,Species not included in reference
Elaeagnus conferta,密花胡颓子,密花胡颓子,Matched
Livistona saribus,大叶蒲葵,大叶蒲葵,Matched
Edgeworthia gardneri,滇结香,滇结香,Matched
Phlomis,橙花糙苏属,木糙苏属,Inconsistent common name
Arisaema decipiens,雪里见,奇异南星,Inconsistent common name
Gymnosphaera metteniana,华南黑桫椤,小黑桫椤,Inconsistent common name
Phyllolobium,蔓黄芪属,蔓黄芪属,Matched
Thladiantha dubia,赤瓟,赤瓟,Matched
Coelogyne viscosa,禾叶贝母兰,禾叶贝母兰,Matched
Cymbidium elegans,莎草兰,莎草兰,Matched
Jensoa,建兰亚属,,Species not included in reference
Crotalaria trichotoma,光萼猪屎豆,光萼猪屎豆,Matched
Selliguea rhynchophylla,,喙叶假瘤蕨,Missed common name on iNat
Daphne bholua,藏东瑞香,藏东瑞香,Matched
Coniogramme affinis,,尖齿凤了蕨,Missed common name on iNat
Dryopteris paleolata,鱼鳞鳞毛蕨,鱼鳞蕨,Inconsistent common name
Pyrrosia porosa,柔软石韦,柔软石韦,Matched
Camellia reticulata,唐山茶,滇山茶,Inconsistent common name
Torreya californica,加州榧,,Species not included in reference
Lotus corniculatus,百脉根,百脉根,Matched
Davallia,骨碎补属,骨碎补属,Matched
Vernonia,斑鸠菊属,铁鸠菊属,Inconsistent common name
Aeschynanthus moningerae,红花芒毛苣苔,,Species not included in reference
Dolichandrone,猫尾木属,,Species not included in reference
Homalium ceylanicum,红花天料木,斯里兰卡天料木,Inconsistent common name
Litchi chinensis euspontanea,,,Missed common name on iNat
Chlorophytum,吊兰属,吊兰属,Matched
Tripterospermum lanceolatum,,玉山双蝴蝶,Missed common name on iNat
Iresine diffusa herbstii,血苋,,Species not included in reference
Brandisia hancei,,来江藤,Missed common name on iNat
Cypripedium,杓兰属,杓兰属,Matched
Allium cyathophorum,,杯花韭,Missed common name on iNat
Abelia macrotera,二翅六道木,二翅糯米条,Inconsistent common name
Buddleja macrostachya,,大序醉鱼草,Missed common name on iNat
Buddleja myriantha,,酒药花醉鱼草,Missed common name on iNat
Buddleja fallowiana,紫花醉鱼草,紫花醉鱼草,Matched
Allium sikkimense,高山韭,高山韭,Matched
Phacelia,钟穗花属,,Species not included in reference
Hedychium gardnerianum,红丝姜花,,Species not included in reference
Nepeta prattii,康藏荆芥,康藏荆芥,Matched
Saussurea stella,星狀鳳毛菊,星状雪兔子,Inconsistent common name
Calanthe argenteostriata,银带虾脊兰,银带虾脊兰,Matched
Pittosporopsis kerrii,假海桐,假海桐,Matched
Duabanga grandiflora,八宝树,八宝树,Matched
Typhonium,犁头尖属,犁头尖属,Matched
Camonea pilosa,柔毛耳节藤,,Species not included in reference
Salvinia cucullata,勺叶槐叶苹,勺叶槐叶蘋,Inconsistent common name
Acmella,金扭扣属,金纽扣属,Inconsistent common name
Ligularia rumicifolia,,藏橐吾,Missed common name on iNat
Bolbitis,实蕨属,实蕨属,Matched
Sterculia,苹婆属,苹婆属,Matched
Gentiana zollingeri,笔龙胆,笔龙胆,Matched
Idaeobatus,,,Missed common name on iNat
Atalantia buxifolia,酒饼簕,酒饼簕,Matched
Eucalyptus robusta,大叶桉,桉,Inconsistent common name
Adenophora capillaris,丝裂沙参,丝裂沙参,Matched
Dracocephalum wallichii,美花毛建草,美花毛建草,Matched
Acacia podalyriifolia,珍珠金合欢,珍珠相思,Inconsistent common name
Vanda brunnea,白柱万代兰,白柱万代兰,Matched
Indigofera spicata,穗序木蓝,,Species not included in reference
Gastrochilus calceolaris,盆距兰,盆距兰,Matched
Zeuxine affinis,宽叶线柱兰,宽叶线柱兰,Matched
Rhododendron przewalskii,,陇蜀杜鹃,Missed common name on iNat
Hedysarum sikkimense,锡金岩黄芪,锡金岩黄芪,Matched
Eremogone,老牛筋属,老牛筋属,Matched
Arceuthobium chinense,,油杉寄生,Missed common name on iNat
Pedicularis przewalskii,,青藏马先蒿,Missed common name on iNat
Stenocoelium depressum,,,Missed common name on iNat
Microula,微孔草属,微孔草属,Matched
Spiraea alpina,高山绣线菊,高山绣线菊,Matched
Pedicularis integrifolia,,全叶马先蒿,Missed common name on iNat
Epilobium palustre,沼生柳叶菜,沼生柳叶菜,Matched
Cyananthus macrocalyx macrocalyx,,,Missed common name on iNat
Brevicalcaratae,[旧]短距堇菜组,,Species not included in reference
Gentiana leucomelaena,蓝白龙胆,蓝白龙胆,Matched
Corydalis trachycarpa,,糙果紫堇,Missed common name on iNat
Pedicularis plicata,,皱褶马先蒿,Missed common name on iNat
Veronica eriogyne,毛果婆婆纳,毛果婆婆纳,Matched
Primula polyneura,,多脉报春,Missed common name on iNat
Pedicularis rhinanthoides,拟鼻花马先蒿,拟鼻花马先蒿,Matched
Argyranthemum,木茼蒿属,,Species not included in reference
Rheum spiciforme,穗序大黄,穗序大黄,Matched
Soroseris hookeriana,金沙绢毛菊,皱叶绢毛苣,Inconsistent common name
Androsace alaschanica zadoensis,,,Missed common name on iNat
Eremogone qinghaiensis,,青海雪灵芝,Missed common name on iNat
Silene himalayensis,,喜马拉雅蝇子草,Missed common name on iNat
Saussurea wellbyi,羌塘雪兔子,羌塘雪兔子,Matched
Viola szetschwanensis,四川堇菜,四川堇菜,Matched
Saussurea medusa,水母雪兔子,水母雪兔子,Matched
Saussurea paxiana,红叶雪兔子,红叶雪兔子,Matched
Odontostemma melanandrum,黑蕊无心菜,黑蕊无心菜,Matched
Ranunculus glareosus,砾地毛茛,砾地毛茛,Matched
Cremanthodium microglossum,小舌垂头菊,小舌垂头菊,Matched
Paraquilegia microphylla,拟耧斗菜,拟耧斗菜,Matched
Picea crassifolia,青海云杉,青海云杉,Matched
Trollius ranunculoides,毛茛状金莲花,毛茛状金莲花,Matched
Pedicularis pilostachya,,绵穗马先蒿,Missed common name on iNat
Allium tanguticum,,唐古韭,Missed common name on iNat
Thalictrum foetidum,腺毛唐松草,腺毛唐松草,Matched
Rhodiola humilis,矮生红景天,矮生红景天,Matched
Silene uralensis uralensis,,,Missed common name on iNat
Corydalis linarioides,条裂黄堇,条裂黄堇,Matched
Rhododendron thymifolium,,千里香杜鹃,Missed common name on iNat
Clerodendrum quadriloculare,烟火树,,Species not included in reference
Herminium monorchis,角盘兰,角盘兰,Matched
Lonicera tangutica,唐古特忍冬,唐古特忍冬,Matched
Microula pseudotrichocarpa,甘青微孔草,甘青微孔草,Matched
Cardamine purpurascens,紫花碎米荠,紫花弯蕊芥,Inconsistent common name
Berberis diaphana,,鲜黄小檗,Missed common name on iNat
Cymbidium goeringii,春兰,春兰,Matched
Cymbidium lancifolium,兔耳兰,兔耳兰,Matched
Solanum aculeatissimum,喀西茄,喀西茄,Matched
Alternanthera,莲子草属,莲子草属,Matched
Rhododendron przewalskii huzhuense,,,Missed common name on iNat
Rhododendron capitatum,头花杜鹃,头花杜鹃,Matched
Lagotis brevituba,,短筒兔耳草,Missed common name on iNat
Codiaeum,变叶木属,变叶木属,Matched
Syngonium,合果芋属,合果芋属,Matched
Acalypha hispida,红穗铁苋菜,红穗铁苋菜,Matched
Kigelia,吊灯树属,吊瓜树属,Inconsistent common name
Dactylorhiza hatagirea,掌裂兰,掌裂兰,Matched
Lysimachia maritima,海乳草,海乳草,Matched
Pyracantha fortuneana,火棘,火棘,Matched
Cheirostylis yunnanensis,云南叉柱兰,云南叉柱兰,Matched
Viscum,槲寄生属,槲寄生属,Matched
Elsholtzia kachinensis,,水香薷,Missed common name on iNat
Alpinia hainanensis,海南山姜,海南山姜,Matched
Microcos paniculata,破布叶,破布叶,Matched
Zornia,丁癸草属,丁癸草属,Matched
Elaeocarpus,杜英属,杜英属,Matched
Foeniculum,茴香属,茴香属,Matched
Phyllanthus pulcher,云桂叶下珠,云桂叶下珠,Matched
Uvaria,紫玉盘属,紫玉盘属,Matched
Ichnocarpus frutescens,羊角藤,腰骨藤,Inconsistent common name
Blumea axillaris,柔毛艾纳香,柔毛艾纳香,Matched
Cananga odorata,依兰,依兰,Matched
Rosa davurica,山刺玫,山刺玫,Matched
Pedicularis torta,扭旋马先蒿,扭旋马先蒿,Matched
Trapa incisa,细果野菱,细果野菱,Matched
Salicornia,盐角草属,盐角草属,Matched
Ricciocarpos natans,浮苔,浮苔,Matched
Cerastium arvense strictum,卷耳,,Species not included in reference
Trigonotis peduncularis amblyosepala,钝萼附地菜,,Species not included in reference
Galium boreale,北方拉拉藤,北方拉拉藤,Matched
Valeriana officinalis,缬草,缬草,Matched
Rheum rhabarbarum,波叶大黄,波叶大黄,Matched
Erysimum amurense,糖芥,糖芥,Matched
Thymus mongolicus,百里香,百里香,Matched
Gentiana squarrosa,鳞叶龙胆,鳞叶龙胆,Matched
